ticker symbol,company,sector,location
CMI,Cummins Inc.,Industrials,"Columbus, Indiana"
CVS,CVS Health,Consumer Staples,"Woonsocket, Rhode Island"
DHI,D. R. Horton,Consumer Discretionary,"Fort Worth, Texas"
DHR,Danaher Corp.,Health Care,"Washington, D.C."
DRI,Darden Restaurants,Consumer Discretionary,"Orlando, Florida"
DVA,DaVita,Health Care,"Denver, Colorado"
DE,Deere & Co.,Industrials,"Moline, Illinois"
DLPH,Delphi Automotive,Consumer Discretionary,"Gillingham, Kent"
DAL,Delta Air Lines,Industrials,"Atlanta, Georgia"
XRAY,Dentsply Sirona,Health Care,"York, Pennsylvania"
DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma"
DLR,Digital Realty,Real Estate,"San Francisco, California"
DFS,Discover Financial Services,Financials,"Riverwoods, Illinois"
DISCA,Discovery Communications,Consumer Discretionary,"Silver Spring, Maryland"
DISCK,Discovery Communications,Consumer Discretionary,"Silver Spring, Maryland"
DISH,Dish Network,Consumer Discretionary,"Meridian, Colorado"
DG,Dollar General,Consumer Discretionary,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Discretionary,"Chesapeake, Virginia"
D,Dominion Energy,Utilities,"Richmond, Virginia"
DOV,Dover Corp.,Industrials,"Downers Grove, Illinois"
DWDP,DowDuPont,Materials,"Midland, Michigan"
DPS,Dr Pepper Snapple Group,Consumer Staples,"Plano, Texas"
DTE,DTE Energy,Utilities,"Detroit, Michigan"
DRE,Duke Realty Corp,Real Estate,"Indianapolis, Indiana"
DUK,Duke Energy,Utilities,"Charlotte, North Carolina"
DXC,DXC Technology,Information Technology,"Tysons Corner, Virginia"
ETFC,E*Trade,Financials,"New York, New York"
EMN,Eastman Chemical,Materials,"Kingsport, Tennessee"
ETN,Eaton Corporation,Industrials,"Dublin, Ireland"
EBAY,eBay,Information Technology,"San Jose, California"
ECL,Ecolab,Materials,"St. Paul, Minnesota"
EIX,Edison Int'l,Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care,"Irvine, California"
EA,Electronic Arts,Information Technology,"Redwood City, California"
EMR,Emerson Electric Company,Industrials,"Ferguson, Missouri"
ETR,Entergy Corp.,Utilities,"New Orleans, Louisiana"
EVHC,Envision Healthcare,Health Care,"Nashville, Tennessee"
EOG,EOG Resources,Energy,"Houston, Texas"
EQT,EQT Corporation,Energy,"Pittsburgh, Pennsylvania"
EFX,Equifax Inc.,Industrials,"Atlanta, Georgia"
EQIX,Equinix,Real Estate,"Redwood City, California"
EQR,Equity Residential,Real Estate,"Chicago, Illinois"
ESS,"Essex Property Trust, Inc.",Real Estate,"Palo Alto, California"
EL,Estee Lauder Cos.,Consumer Staples,"New York, New York"
ES,Eversource Energy,Utilities,"Springfield, Massachusetts"
RE,Everest Re Group,Financials,"Hamilton, Bermuda"
EXC,Exelon Corp.,Utilities,"Chicago, Illinois"
EXPE,Expedia Inc.,Consumer Discretionary,"Bellevue, Washington"
EXPD,Expeditors International,Industrials,"Seattle, Washington"
ESRX,Express Scripts,Health Care,"Cool Valley, Missouri"
EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah"
XOM,Exxon Mobil Corp.,Energy,"Irving, Texas"
FFIV,F5 Networks,Information Technology,"Seattle, Washington"
FB,"Facebook, Inc.",Information Technology,"Menlo Park, California"
FAST,Fastenal Co,Industrials,"Winona, Minnesota"
FRT,Federal Realty Investment Trust,Real Estate,"Rockville, Maryland"
FDX,FedEx Corporation,Industrials,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Information Technology,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Financials,"Cincinnati, Ohio"
FE,FirstEnergy Corp,Utilities,"Akron, Ohio"
FISV,Fiserv Inc,Information Technology,"Brookfield, Wisconsin"
FLIR,FLIR Systems,Information Technology,"Wilsonville, Oregon"
FLS,Flowserve Corporation,Industrials,"Irving, Texas"
FLR,Fluor Corp.,Industrials,"Irving, Texas"
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania"
FL,Foot Locker Inc,Consumer Discretionary,"New York, New York"
F,Ford Motor,Consumer Discretionary,"Dearborn, Michigan"
FTV,Fortive Corp,Industrials,"Everett, Washington"
FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois"
BEN,Franklin Resources,Financials,"San Mateo, California"
FCX,Freeport-McMoRan Inc.,Materials,"Phoenix, Arizona"
GPS,Gap Inc.,Consumer Discretionary,"San Francisco, California"
GRMN,Garmin Ltd.,Consumer Discretionary,"Schaffhausen, Switzerland"
IT,Gartner Inc,Information Technology,"Stamford, Connecticut"
GD,General Dynamics,Industrials,"Falls Church, Virginia"
GE,General Electric,Industrials,"Boston, Massachusetts"
GGP,General Growth Properties Inc.,Real Estate,"Chicago, Illinois"
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,"Detroit, Michigan"
GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia"
GILD,Gilead Sciences,Health Care,"Foster City, California"
GPN,Global Payments Inc,Information Technology,"Atlanta, Georgia"
GS,Goldman Sachs Group,Financials,"New York, New York"
GT,Goodyear Tire & Rubber,Consumer Discretionary,"Akron, Ohio"
GWW,Grainger (W.W.) Inc.,Industrials,"Lake Forest, Illinois"
HAL,Halliburton Co.,Energy,"Houston, Texas"
HBI,Hanesbrands Inc,Consumer Discretionary,"Winston-Salem, North Carolina"
HOG,Harley-Davidson,Consumer Discretionary,"Milwaukee, Wisconsin"
HRS,Harris Corporation,Information Technology,"Melbourne, Florida"
HIG,Hartford Financial Svc.Gp.,Financials,"Hartford, Connecticut"
HAS,Hasbro Inc.,Consumer Discretionary,"Pawtucket, Rhode Island"
HCA,HCA Holdings,Health Care,"Nashville, Tennessee"
HCP,HCP Inc.,Real Estate,"Long Beach, California"
HP,Helmerich & Payne,Energy,"Tulsa, Oklahoma"
HSIC,Henry Schein,Health Care,"Melville, New York"
HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania"
HES,Hess Corporation,Energy,"New York, New York"
HPE,Hewlett Packard Enterprise,Information Technology,"Palo Alto, California"
HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia"
HOLX,Hologic,Health Care,"Marlborough, Massachusetts"
HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia"
HON,Honeywell Int'l Inc.,Industrials,"Morristown, New Jersey"
HRL,Hormel Foods Corp.,Consumer Staples,"Austin, Minnesota"
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland"
HPQ,HP Inc.,Information Technology,"Palo Alto, California"
HUM,Humana Inc.,Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio"
IDXX,IDEXX Laboratories,Health Care,"Westbrook, Maine"
INFO,IHS Markit Ltd.,Industrials,London
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois"
ILMN,Illumina Inc,Health Care,"San Diego, California"
IR,Ingersoll-Rand PLC,Industrials,"Dublin, Ireland"
INTC,Intel Corp.,Information Technology,"Santa Clara, California"
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia"
IBM,International Business Machines,Information Technology,"Armonk, New York"
INCY,Incyte,Health Care,"Wilmington, Delaware"
IP,International Paper,Materials,"Memphis, Tennessee"
IPG,Interpublic Group,Consumer Discretionary,"New York, New York"
IFF,Intl Flavors & Fragrances,Materials,"New York, New York"
INTU,Intuit,Information Technology,"Mountain View, California"
ISRG,Intuitive Surgical Inc.,Health Care,"Sunnyvale, California"
IVZ,Invesco Ltd.,Financials,"Atlanta, Georgia"
IQV,IQVIA,Health Care,"Durham, North Carolina"
IRM,Iron Mountain Incorporated,Real Estate,"Boston, Massachusetts"
JEC,Jacobs Engineering Group,Industrials,"Pasadena, California"
JBHT,J. B. Hunt Transport Services,Industrials,"Lowell, Arkansas"
SJM,JM Smucker,Consumer Staples,"Orrville, Ohio"
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey"
JCI,Johnson Controls International,Industrials,"Cork, Ireland"
JPM,JPMorgan Chase & Co.,Financials,"New York, New York"
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California"
KSU,Kansas City Southern,Industrials,"Kansas City, Missouri"
K,Kellogg Co.,Consumer Staples,"Battle Creek, Michigan"
KEY,KeyCorp,Financials,"Cleveland, Ohio"
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas"
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York"
KMI,Kinder Morgan,Energy,"Houston, Texas"
KLAC,KLA-Tencor Corp.,Information Technology,"Milpitas, California"
KSS,Kohl's,Consumer Discretionary,"Menomonee Falls, Wisconsin"
KHC,Kraft Heinz,Consumer Staples,"Pittsburgh, Pennsylvania"
KR,Kroger Co.,Consumer Staples,"Cincinnati, Ohio"
LB,L Brands Inc.,Consumer Discretionary,"Columbus, Ohio"
LLL,L-3 Communications Holdings,Industrials,"New York, New York"
LH,Laboratory Corp. of America Holding,Health Care,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,"Fremont, California"
LEG,Leggett & Platt,Consumer Discretionary,"Carthage, Missouri"
LEN,Lennar Corp.,Consumer Discretionary,"Miami, Florida"
LUK,Leucadia National Corp.,Financials,"New York, New York"
LLY,Lilly (Eli) & Co.,Health Care,"Indianapolis, Indiana"
LNC,Lincoln National,Financials,"Radnor, Pennsylvania"
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois"
LMT,Lockheed Martin Corp.,Industrials,"Bethesda, Maryland"
L,Loews Corp.,Financials,"New York, New York"
LOW,Lowe's Cos.,Consumer Discretionary,"Mooresville, North Carolina"
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands"
MTB,M&T Bank Corp.,Financials,"Buffalo, New York"
MAC,Macerich,Real Estate,"Santa Monica, California"
M,Macy's Inc.,Consumer Discretionary,"Cincinnati, Ohio"
MRO,Marathon Oil Corp.,Energy,"Houston, Texas"
MPC,Marathon Petroleum,Energy,"Findlay, Ohio"
MAR,Marriott Int'l.,Consumer Discretionary,"Bethesda, Maryland"
MMC,Marsh & McLennan,Financials,"New York, New York"
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina"
MAS,Masco Corp.,Industrials,"Taylor, Michigan"
